시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210629,510.00,추가밥*<br/>돼지불고기쟁반짜장*1.2.5.6.10.13.<br/>튀김만두&야채무침*1.5.6.10.16.18.<br/>게살스프*1.2.5.6.8.13.16.<br/>반달단무지무침*<br/>파김치*9.13.<br/>꿀호두*14.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,856.5 Kcal,탄수화물(g) : 137.8<br/>단백질(g) : 31.1<br/>지방(g) : 24.7<br/>비타민A(R.E) : 284.1<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 1.8<br/>비타민C(mg) : 25.2<br/>칼슘(mg) : 445.9<br/>철분(mg) : 7.0,20210706
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210707,510.00,친환경잡곡밥*5.<br/>감자양파국*5.6.13.<br/>구멍어묵곤약조림*1.5.6.13.16.<br/>제육볶음*5.6.10.13.<br/>배추김치*9.13.<br/>짜먹는초코아이스크림*2.<br/>쌈상추&쌈장&파채무침*5.6.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,841.6 Kcal,탄수화물(g) : 136.0<br/>단백질(g) : 53.0<br/>지방(g) : 14.1<br/>비타민A(R.E) : 359.2<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 36.1<br/>칼슘(mg) : 299.6<br/>철분(mg) : 5.4,20210714
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210708,510.00,참치김치덮밥*5.9.13.<br/>가쓰오장국*5.6.13.<br/>가지된장소스무침*5.6.13.<br/>갈떡갈떡*2.5.6.10.15.16.<br/>깍두기*9.13.<br/>멜론*,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,774.0 Kcal,탄수화물(g) : 141.0<br/>단백질(g) : 31.3<br/>지방(g) : 11.9<br/>비타민A(R.E) : 179.6<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 20.3<br/>칼슘(mg) : 297.0<br/>철분(mg) : 11.7,20210715
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210709,510.00,친환경현미밥*<br/>부대찌개*1.2.5.6.9.10.12.13.16.<br/>미트볼토마토소스볶음*1.5.6.10.12.13.<br/>애호박새우젓볶음*9.13.<br/>가자미카레구이*2.5.6.12.13.16.18.<br/>총각김치*9.13.<br/>애플망고라떼*2.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,916.3 Kcal,탄수화물(g) : 128.1<br/>단백질(g) : 52.9<br/>지방(g) : 23.0<br/>비타민A(R.E) : 277.8<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 1.1<br/>비타민C(mg) : 37.1<br/>칼슘(mg) : 529.3<br/>철분(mg) : 5.1,20210716
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210712,530.00,닭곰탕*13.15.<br/>깻잎순된장무침*5.6.13.18.<br/>낙지덮밥*5.6.13.17.<br/>어묵바&머스터드*1.2.5.6.<br/>겉절이*9.13.<br/>거봉*,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,740.3 Kcal,탄수화물(g) : 137.7<br/>단백질(g) : 42.6<br/>지방(g) : 9.3<br/>비타민A(R.E) : 527.4<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 20.6<br/>칼슘(mg) : 295.1<br/>철분(mg) : 5.4,20210719
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210713,510.00,친환경현미밥*<br/>미니글레이즈드*2.5.6.<br/>돈등뼈감자탕&수제비*5.6.9.10.13.18.<br/>꽁치무조림*5.6.<br/>얼갈이된장무침*5.6.<br/>웨지감자베이컨구이*2.10.13.<br/>섞박지*9.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,635.7 Kcal,탄수화물(g) : 107.6<br/>단백질(g) : 30.8<br/>지방(g) : 10.8<br/>비타민A(R.E) : 334.8<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 37.2<br/>칼슘(mg) : 260.3<br/>철분(mg) : 5.5,20210720
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210714,290.00,밥버거*1.2.5.6.9.10.13.15.16.18.<br/>장각오븐구이&양념치킨소스*5.6.12.13.15.18.<br/>오이피클&단무지*13.<br/>구슬아이스크림*2.<br/>콘샐러드*1.5.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,1122.0 Kcal,탄수화물(g) : 156.3<br/>단백질(g) : 52.0<br/>지방(g) : 33.3<br/>비타민A(R.E) : 231.0<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 32.5<br/>칼슘(mg) : 234.0<br/>철분(mg) : 7.8,20210721
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210715,510.00,추가밥*<br/>짜장면(1/2)*1.2.5.6.10.13.<br/>얼큰짬뽕(1/2)*1.5.6.9.13.17.18.<br/>노각무침*5.6.13.<br/>꿔바로우&흑당소스*5.6.10.<br/>깍두기*9.13.<br/>사과*,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,863.3 Kcal,탄수화물(g) : 144.8<br/>단백질(g) : 30.8<br/>지방(g) : 19.1<br/>비타민A(R.E) : 120.4<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 1.7<br/>비타민C(mg) : 31.6<br/>칼슘(mg) : 707.3<br/>철분(mg) : 3.3,20210722
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210726,41.00,추가밥*<br/>한우샤브칼국수(大)*1.2.3.5.6.13.16.18.<br/>김치왕만두*1.2.5.6.10.<br/>부추무생채*1.2.5.6.13.<br/>겉절이*13.9.<br/>수박*,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,845.8 Kcal,탄수화물(g) : 152.7<br/>단백질(g) : 33.9<br/>지방(g) : 11.0<br/>비타민A(R.E) : 382.2<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 19.8<br/>칼슘(mg) : 251.7<br/>철분(mg) : 14.9,20210802
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210727,40.00,백미밥*<br/>얼큰해물수제비(大)*5.6.9.13.17.18.<br/>오이무침*5.6.13.<br/>어묵바&머스터드*1.2.5.6.<br/>겉절이*9.13.<br/>제리뽀*,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,745.7 Kcal,탄수화물(g) : 139.9<br/>단백질(g) : 38.1<br/>지방(g) : 8.3<br/>비타민A(R.E) : 188.8<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 17.3<br/>칼슘(mg) : 347.7<br/>철분(mg) : 5.8,20210803
